gene_id,expression,H3K27ac_signal,H3K4me3_signal
1,5.05,5.745,4.19
2,5.746,4.793,4.827
3,5.868,5.972,4.049
4,7.412,7.285,4.63
5,2.942,4.649,2.728
6,6.543,4.649,5.256
7,4.853,7.369,5.001
8,5.358,6.151,4.019
9,5.761,4.296,5.791
10,7.84,5.814,6.125
11,4.26,4.305,3.071
12,3.7,4.301,4.085
13,4.651,5.363,4.077
14,3.819,2.13,3.872
15,5.257,2.413,5.995
16,4.863,4.157,4.767
17,4.524,3.481,4.683
18,5.158,5.471,2.595
19,5.357,3.638,5.763
20,3.708,2.882,3.513
21,9.219,7.198,5.072
22,4.782,4.661,5.333
23,5.574,5.101,6.633
24,4.425,2.863,3.429
25,2.335,4.183,1.377
26,5.974,5.166,5.221
27,5.932,3.274,7.161
28,7.159,5.564,6.487
29,7.151,4.099,5.252
30,6.073,4.562,4.41
31,7.003,4.097,5.969
32,5.394,7.778,3.832
33,5.374,4.98,5.572
34,3.023,3.413,5.607
35,6.87,6.234,6.272
36,8.279,3.169,8.312
37,6.99,5.313,5.471
38,3.776,2.06,4.389
39,4.889,3.008,4.969
40,4.014,5.295,2.877
41,6.195,6.108,4.166
42,6.489,5.257,4.509
43,4.002,4.827,4.371
44,6.17,4.548,5.183
45,4.938,2.782,4.013
46,6.024,3.92,6.345
47,6.271,4.309,5.0
48,9.409,6.586,4.989
49,5.913,5.515,4.607
50,5.068,2.355,5.186
51,6.325,5.486,5.99
52,5.11,4.422,3.959
53,5.306,3.985,4.21
54,6.423,5.918,4.636
55,4.761,6.546,3.385
56,6.246,6.397,4.017
57,6.238,3.741,4.429
58,6.925,4.536,6.049
59,7.38,5.497,5.315
60,6.76,6.463,5.232
61,7.039,4.281,6.021
62,5.994,4.722,4.835
63,4.591,3.34,5.469
64,5.237,3.206,4.876
65,6.007,6.219,5.318
66,6.038,7.034,4.301
67,4.008,4.892,2.073
68,6.981,6.505,4.839
69,6.466,5.542,6.707
70,7.244,4.032,6.111
71,7.662,5.542,6.158
72,7.7,7.307,6.483
73,4.67,4.946,5.106
74,7.326,7.347,5.237
75,2.941,1.07,4.259
76,6.509,6.233,4.621
77,6.289,5.131,5.739
78,4.999,4.551,6.445
79,5.615,5.138,4.833
80,3.728,2.019,4.46
81,6.407,4.67,5.001
82,6.193,5.536,5.721
83,7.479,7.217,3.267
84,1.869,4.223,2.245
85,6.062,3.787,4.339
86,4.342,4.247,3.535
87,7.093,6.373,4.39
88,6.224,5.493,4.823
89,6.218,4.205,4.456
90,7.34,5.77,6.743
91,5.382,5.146,5.392
92,8.346,6.453,5.361
93,5.878,3.947,5.747
94,4.958,4.509,3.633
95,7.712,4.412,6.247
96,3.823,2.805,4.909
97,7.374,5.444,5.805
98,4.761,5.392,3.714
99,4.548,5.008,3.135
100,6.597,4.648,5.981
101,3.831,2.877,5.452
102,4.183,4.369,3.918
103,6.2,4.486,3.956
104,7.138,3.797,6.351
105,4.792,4.758,3.573
106,7.987,5.606,6.971
107,6.499,7.829,3.919
108,7.935,5.262,5.766
109,5.756,5.386,4.606
110,6.685,4.888,5.724
111,5.015,2.122,4.347
112,5.147,4.96,4.805
113,7.506,5.09,5.049
114,5.763,8.695,3.797
115,7.972,4.711,5.889
116,5.475,5.452,4.384
117,5.566,4.948,4.726
118,2.489,3.247,3.807
119,4.307,6.714,1.925
120,5.518,6.128,4.771
121,8.201,6.187,7.895
122,5.829,3.636,5.942
123,8.003,7.104,4.977
124,4.831,2.897,4.685
125,6.788,5.88,5.027
126,7.279,8.286,5.657
127,3.385,3.514,3.583
128,8.145,4.151,6.337
129,6.05,5.149,5.858
130,7.723,4.245,5.862
131,4.911,2.674,5.526
132,6.087,5.103,5.024
133,6.7,3.407,5.807
134,8.061,5.71,5.71
135,4.857,3.621,4.575
136,6.425,7.325,4.312
137,5.413,3.825,5.122
138,7.4,4.517,6.859
139,6.405,6.22,3.513
140,3.741,3.154,3.239
141,6.9,5.341,5.198
142,8.601,6.961,5.061
143,5.199,2.589,5.208
144,6.656,5.277,5.293
145,4.657,5.39,4.732
146,5.563,6.173,6.788
147,3.967,3.145,3.079
148,4.133,3.019,4.006
149,5.882,5.783,4.876
150,5.048,5.445,3.028
151,6.009,5.376,4.789
152,8.756,5.52,6.994
153,5.555,3.98,5.025
154,5.726,5.348,5.277
155,6.052,5.44,3.488
156,4.7,3.928,4.26
157,7.681,7.799,4.55
158,5.69,5.711,4.619
